
CODE	DESCRIPTION

30747	other_dysfunctions_of_sleep_stages_or_arousal_from_sleep_30747
30741	transient_disorder_of_initiating_or_maintaining_sleep_30741
32723	obstructive_sleep_apnea_(adult)_(pediatric)_32723
30742	persistent_disorder_of_initiating_or_maintaining_sleep_30742
78055	disruptions_of_24-hour_sleep-wake_cycle_78055
78054	other_hypersomnia_78054
78057	other_and_unspecified_sleep_apnea_78057
78056	dysfunctions_associated_with_sleep_stages_or_arousal_from_sleep_78056
78051	insomnia_with_sleep_apnea_78051
78050	unspecified_sleep_disturbance_78050
78053	hypersomnia_with_sleep_apnea_78053
78052	other_insomnia_78052
78059	other_sleep_disturbances_78059
